City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Naze,JP,2022-05-12 18:57:53,28.3667,129.4833,72.52,86,100,13.65
67,Flin Flon,CA,2022-05-12 18:58:45,54.7682,-101.865,66.04,27,40,6.91
68,Vaini,TO,2022-05-12 18:58:45,-21.2,-175.2,71.76,64,75,13.8
69,Khatanga,RU,2022-05-12 18:58:46,71.9667,102.5,7.29,94,12,9.98
70,Pangoa,PE,2022-05-12 18:58:46,-12.1167,-73.0,77.45,70,51,3.13
71,Penzance,GB,2022-05-12 18:58:46,50.1186,-5.5371,56.08,85,8,15.48
72,Dingle,PH,2022-05-12 18:58:47,10.9995,122.6711,77.85,86,100,4.59
73,Harper,LR,2022-05-12 18:58:47,4.375,-7.7169,78.55,89,100,9.89
74,Camacha,PT,2022-05-12 18:58:48,33.0833,-16.3333,65.62,77,20,14.97
75,Provideniya,RU,2022-05-12 18:58:48,64.3833,-173.3,36.66,80,27,3.65
76,Saskylakh,RU,2022-05-12 18:58:48,71.9167,114.0833,10.92,93,50,13.0
77,Upernavik,GL,2022-05-12 18:58:49,72.7868,-56.1549,18.72,80,13,8.48
78,Bethel,US,2022-05-12 18:58:49,41.3712,-73.414,81.66,64,77,1.01
79,Busselton,AU,2022-05-12 18:58:49,-33.65,115.3333,56.08,77,95,19.53
80,Gravdal,NO,2022-05-12 18:58:50,68.1214,13.5031,42.53,95,100,2.48
81,Kampot,KH,2022-05-12 18:58:50,10.6167,104.1833,82.45,86,100,6.58
82,Georgetown,MY,2022-05-12 18:55:17,5.4112,100.3354,84.13,88,20,3.44
83,Tasiilaq,GL,2022-05-12 18:58:50,65.6145,-37.6368,28.69,55,52,3.27
84,Mar Del Plata,AR,2022-05-12 18:56:51,-38.0023,-57.5575,58.95,67,40,11.99
85,Vung Tau,VN,2022-05-12 18:57:43,10.346,107.0843,82.69,81,94,11.18
86,Jamestown,US,2022-05-12 18:58:51,42.097,-79.2353,83.52,22,100,3.0
87,Hauterive,FR,2022-05-12 18:58:51,46.0901,3.4459,65.16,97,100,3.87
88,Kuldur,RU,2022-05-12 18:58:51,49.2167,131.6333,37.04,89,99,2.01
89,Inhambane,MZ,2022-05-12 18:58:52,-23.865,35.3833,67.98,88,20,4.61
90,Alexandria,EG,2022-05-12 18:56:33,31.2156,29.9553,66.74,72,0,9.22
91,Kyra,RU,2022-05-12 18:59:52,49.5776,111.9753,35.64,89,98,4.56
92,Thompson,CA,2022-05-12 18:59:16,55.7435,-97.8558,57.36,38,40,4.61
93,Pacific Grove,US,2022-05-12 18:59:53,36.6177,-121.9166,65.21,66,100,11.99
94,Ternate,ID,2022-05-12 18:59:53,0.8,127.4,81.93,80,100,5.61
95,Poum,NC,2022-05-12 18:59:53,-20.2333,164.0167,76.05,74,100,33.35
